31: 5361, 803, 6595, 9874, 2433, 8398, 4669, 7588, 1737, 5230
32: 5361, 803, 6595, 9874, 2433, 8398, 4669, 7588, 1737, 5230
33: 5361, 803, 6595, 9874, 2433, 8398, 4669, 1737, 7588, 5230
34: 5361, 803, 6595, 9874, 2433, 8398, 4669, 1737, 7588, 5230
35: 5361, 803, 6595, 9874, 2433, 8398, 4669, 1737, 7588, 5230
36: 5361, 803, 6595, 9874, 2433, 8398, 4669, 1737, 7588, 5230
37: 5361, 803, 6595, 9874, 4669, 9311, 2433, 1737, 8398, 7001
38: 5361, 803, 6595, 9874, 4669, 9311, 2433, 1737, 8398, 7001
39: 5361, 803, 6595, 4669, 9874, 9311, 7001, 2433, 1737, 8398
40: 5361, 803, 6595, 4669, 9874, 9311, 7001, 1737, 2433, 8398
41: 5361, 803, 6595, 4669, 9311, 9874, 7001, 1737, 2433, 8398
42: 5361, 803, 6595, 9311, 4669, 9874, 7001, 1737, 2433, 8398
43: 4669, 6764, 9874, 6595, 1642, 4888, 7588, 4319, 9788, 8398
44: 4669, 6764, 9874, 6595, 4888, 1642, 7588, 4319, 9788, 8967
45: 4669, 6764, 9874, 6595, 1642, 7588, 4888, 9311, 4319, 9788
46: 4669, 6764, 9874, 6595, 7588, 1642, 4888, 4319, 9788, 8398
47: 4669, 6764, 9874, 6595, 7588, 4888, 1642, 4319, 9788, 8398
48: 4669, 6764, 9874, 6595, 7588, 1642, 4888, 4319, 9788, 8398
49: 4669, 6764, 4888, 1642, 9874, 6595, 4319, 9788, 7588, 8967
50: 4669, 6764, 9874, 6595, 1642, 4888, 7588, 4319, 9788, 9311
51: 6764, 4669, 4888, 1642, 4319, 9788, 9874, 6595, 7588, 9311
52: 4669, 6764, 6595, 9874, 7588, 1642, 4888, 9311, 803, 8398
53: 4669, 6764, 9874, 6595, 4888, 7588, 1642, 4319, 9788, 8967
54: 4669, 6764, 9874, 6595, 7588, 4888, 1642, 4319, 9788, 8398
55: 6764, 4669, 1642, 4888, 6595, 9874, 9311, 7001, 7588, 803
56: 6764, 4669, 1642, 4888, 6595, 9874, 9311, 7001, 7588, 803
57: 6764, 4669, 1642, 4888, 9874, 6595, 4319, 9788, 7588, 9311
58: 4669, 6764, 9874, 6595, 7588, 4888, 1642, 4319, 9788, 8398
59: 6764, 4669, 1642, 4888, 9874, 6595, 4319, 9788, 7588, 9311
60: 6764, 4669, 1642, 4888, 9874, 6595, 4319, 9788, 7588, 9311
61: 6764, 1642, 4669, 4888, 9311, 7001, 4319, 9788, 6595, 9874
62: 6764, 1642, 4888, 9311, 7001, 3260, 3905, 4669, 9788, 4319
63: 6764, 1642, 9311, 4888, 7001, 3260, 3905, 4669, 5887, 9788
64: 6764, 1642, 9311, 4888, 7001, 3260, 3905, 4669, 5887, 9788
65: 6764, 1642, 4669, 4888, 9311, 7001, 4319, 9788, 3260, 6595
66: 6764, 4669, 1642, 4888, 4319, 9788, 9874, 6595, 9311, 7001
67: 6764, 1642, 9311, 7001, 4888, 3260, 3905, 4669, 803, 5887
68: 6764, 4669, 1642, 4888, 9311, 7001, 4319, 9788, 6595, 9874
69: 6764, 1642, 9311, 7001, 4888, 4669, 3260, 3905, 803, 9788
70: 6764, 4669, 1642, 4888, 9311, 7001, 4319, 9788, 6595, 9874
71: 6764, 1642, 4888, 9311, 7001, 4669, 3260, 3905, 9788, 4319
72: 6764, 1642, 4888, 9311, 7001, 3260, 3905, 4669, 9788, 4319
73: 6764, 1642, 4669, 4888, 9311, 7001, 6595, 3260, 4319, 9788
74: 6764, 1642, 4888, 9311, 7001, 4669, 3260, 3905, 9788, 4319
75: 6764, 1642, 4888, 9788, 4319, 7001, 9311, 4669, 3260, 3905
76: 6764, 1642, 4888, 4319, 9788, 4669, 9311, 7001, 3260, 3905
77: 6764, 4669, 1642, 4888, 9311, 7001, 4319, 9788, 6595, 9874
78: 6764, 1642, 4888, 4669, 9311, 7001, 9788, 4319, 3260, 3905
79: 6764, 1642, 4888, 4669, 9311, 7001, 9788, 4319, 3260, 3905
80: 6764, 1642, 4888, 9788, 4319, 4669, 7001, 9311, 3260, 3905
81: 6764, 1642, 4669, 4888, 9311, 7001, 6595, 9874, 803, 3260
82: 6764, 1642, 4888, 4669, 9311, 7001, 9788, 4319, 3260, 3905
83: 6764, 1642, 4888, 4669, 9311, 7001, 9788, 4319, 3260, 3905
84: 6764, 1642, 4888, 9788, 4319, 4669, 7001, 9311, 3260, 3905
85: 9311, 7001, 6764, 1642, 3905, 3260, 803, 5361, 4888, 4669
86: 9311, 803, 7001, 5361, 3905, 3260, 5762, 6764, 1642, 4669
87: 6764, 1642, 9311, 7001, 4888, 3260, 3905, 4669, 803, 5887
88: 803, 5361, 9311, 7001, 6764, 4669, 1642, 3905, 6595, 5762
89: 803, 5361, 9311, 7001, 5762, 1737, 7466, 6764, 4669, 6595
90: 9311, 7001, 6764, 1642, 803, 3905, 3260, 5361, 4669, 4888
91: 6764, 4669, 1642, 9311, 7001, 4888, 803, 6595, 9874, 5361
92: 9311, 803, 7001, 5361, 6764, 1642, 3905, 3260, 4669, 5762
93: 9311, 803, 7001, 5361, 6764, 1642, 3905, 3260, 4669, 5762
94: 9311, 7001, 803, 5361, 6764, 3905, 1642, 3260, 4669, 5762
95: 9311, 803, 7001, 5361, 6764, 1642, 4669, 3905, 3260, 6595
96: 6764, 9311, 7001, 1642, 803, 4669, 5361, 3905, 3260, 4888
97: 9311, 7001, 803, 5361, 3905, 6764, 3260, 1642, 4669, 5762
98: 803, 5361, 9311, 4669, 7001, 6764, 6595, 9874, 1642, 8398
99: 9311, 7001, 6764, 1642, 803, 5361, 4669, 3905, 3260, 4888
